PV [kW],Battery [kWh],Inverter [kW],CAPEX [€],Self-Consumption [%],Self-Sufficiency [%],Earning for Discharge to Grid,Earning for PV Feed-in to Grid,Opportunity Cost of Not PV Feed-in to Grid,Savings from Avoided Grid Import Cost,Cost for Covering Load from Grid,Cost for Charging Battery from Grid,Total Earnings,Energy Cost,Fixed Annual Cost [€],Net Bill [€],Optimization Profit,Cycles,Grid Import [kWh],Grid Export [kWh],Opt. Profit / kWh Battery [€/kWh],Opt. Profit / kWp PV [€/kW],Opt. Profit / kW Inverter [€/kW],Opt. Profit / CAPEX,Cycles / CAPEX [cycle/€]
5.0,7.0,10.0,10935.0,58.01,87.94,88.58,144.29,94.94,422.04,109.21,5.68,232.87,114.89,160.2,-42.22,284.88,283.18,411.47,2956.38,40.6975,56.9765,28.4883,0.026052,0.025896
5.0,8.0,4.0,10145.0,61.48,89.25,113.94,135.09,104.14,434.33,96.92,5.25,249.02,102.17,160.2,-13.35,316.84,273.24,367.15,2889.82,39.6049,63.3678,79.2097,0.031231,0.026933
5.0,8.0,5.0,10335.0,61.48,89.24,115.02,135.07,104.16,434.16,97.1,5.24,250.09,102.34,160.2,-12.45,317.54,273.26,367.38,2890.03,39.6931,63.509,63.509,0.030725,0.02644
5.0,8.0,6.0,10525.0,61.48,89.21,115.76,135.07,104.16,433.79,97.47,5.24,250.83,102.71,160.2,-12.08,317.55,273.26,368.32,2890.97,39.6934,63.5095,52.9246,0.030171,0.025963
5.0,8.0,7.0,10715.0,61.48,89.21,115.83,135.07,104.16,433.74,97.51,5.24,250.9,102.75,160.2,-12.05,317.54,273.26,368.41,2891.06,39.6919,63.507,45.3621,0.029635,0.025503
5.0,8.0,8.0,10905.0,61.48,89.21,115.83,135.07,104.16,433.74,97.51,5.24,250.9,102.75,160.2,-12.05,317.54,273.26,368.41,2891.06,39.6919,63.507,39.6919,0.029118,0.025058
5.0,8.0,9.0,11095.0,61.48,89.21,115.83,135.07,104.16,433.74,97.51,5.24,250.9,102.75,160.2,-12.05,317.54,273.26,368.41,2891.06,39.6919,63.507,35.2817,0.02862,0.024629
5.0,8.0,10.0,11285.0,61.48,89.21,115.83,135.07,104.16,433.74,97.51,5.24,250.9,102.75,160.2,-12.05,317.54,273.26,368.41,2891.06,39.6919,63.507,31.7535,0.028138,0.024214
5.0,9.0,5.0,10685.0,64.57,90.04,140.85,127.67,111.56,441.6,89.66,4.92,268.52,94.57,160.2,13.75,343.79,263.04,340.17,2842.97,38.1985,68.7573,68.7573,0.032175,0.024618
5.0,9.0,6.0,10875.0,64.58,90.03,141.77,127.62,111.61,441.39,89.86,4.91,269.39,94.77,160.2,14.41,344.19,263.1,340.48,2843.23,38.2437,68.8387,57.3656,0.03165,0.024193
5.0,9.0,7.0,11065.0,64.58,90.0,142.5,127.62,111.61,441.01,90.24,4.91,270.12,95.15,160.2,14.76,344.16,263.1,341.43,2844.17,38.2405,68.8328,49.1663,0.031104,0.023777
5.0,9.0,8.0,11255.0,64.58,90.0,142.5,127.62,111.61,441.01,90.24,4.91,270.12,95.15,160.2,14.76,344.16,263.1,341.43,2844.17,38.2405,68.8328,43.0205,0.030579,0.023376
